Bandit,Reward,Algorithm
2,1.2388956835602327,Epsilon Greedy
2,4.3992693591517265,Epsilon Greedy
2,3.4239217477217094,Epsilon Greedy
2,4.612157144184003,Epsilon Greedy
2,2.1300361506969905,Epsilon Greedy
2,2.935633327091364,Epsilon Greedy
2,2.592901405003023,Epsilon Greedy
2,3.315978340750542,Epsilon Greedy
2,4.410326546202736,Epsilon Greedy
2,4.426514677727789,Epsilon Greedy
2,2.460892390415028,Epsilon Greedy
2,0.996646364044635,Epsilon Greedy
2,2.6878832138525097,Epsilon Greedy
2,2.895988238357444,Epsilon Greedy
2,2.743727854264537,Epsilon Greedy
2,2.311864882624386,Epsilon Greedy
2,2.3801936378602564,Epsilon Greedy
2,3.678785288351595,Epsilon Greedy
2,3.599350383102683,Epsilon Greedy
1,0.2007019442933473,Epsilon Greedy
2,1.7041347088714882,Epsilon Greedy
2,1.364322596078463,Epsilon Greedy
2,1.6397679892563979,Epsilon Greedy
2,2.7626994981250923,Epsilon Greedy
2,3.2628329059273327,Epsilon Greedy
2,3.6835429899245407,Epsilon Greedy
2,4.242588165064259,Epsilon Greedy
2,4.233582703007951,Epsilon Greedy
2,4.8903441875310545,Epsilon Greedy
2,1.7178876489067416,Epsilon Greedy
2,2.2283846625211328,Epsilon Greedy
2,2.102158671333579,Epsilon Greedy
2,3.9758502397712405,Epsilon Greedy
2,0.499742419590409,Epsilon Greedy
2,2.043947572837767,Epsilon Greedy
2,3.1657072510382775,Epsilon Greedy
2,3.21795093807513,Epsilon Greedy
2,2.9001817307329985,Epsilon Greedy
3,3.5779254896998514,Epsilon Greedy
3,3.7014709494163807,Epsilon Greedy
3,5.335248913995459,Epsilon Greedy
3,3.254434513723003,Epsilon Greedy
3,4.046249394090926,Epsilon Greedy
3,4.267005127450031,Epsilon Greedy
3,4.3577386907025515,Epsilon Greedy
3,4.562054962518651,Epsilon Greedy
3,5.158321413548967,Epsilon Greedy
3,3.1326841660433753,Epsilon Greedy
3,3.5076492804373496,Epsilon Greedy
3,5.759763653587346,Epsilon Greedy
3,4.010567984128474,Epsilon Greedy
3,3.45028069740424,Epsilon Greedy
3,4.223241028493595,Epsilon Greedy
3,4.726114650442275,Epsilon Greedy
3,5.14021312809386,Epsilon Greedy
3,4.884668350170244,Epsilon Greedy
3,5.183328426467282,Epsilon Greedy
3,4.294385223586896,Epsilon Greedy
3,4.048363157463145,Epsilon Greedy
3,3.311316467430827,Epsilon Greedy
3,4.061834936808803,Epsilon Greedy
3,5.218038507877528,Epsilon Greedy
3,3.356809576292891,Epsilon Greedy
3,4.673914954785637,Epsilon Greedy
3,5.192518022394432,Epsilon Greedy
3,4.708107297037721,Epsilon Greedy
3,3.606346599878341,Epsilon Greedy
3,5.426475926361165,Epsilon Greedy
3,3.2150051766294845,Epsilon Greedy
3,5.818367180422326,Epsilon Greedy
3,3.916818846718696,Epsilon Greedy
3,4.254724623200894,Epsilon Greedy
3,3.963341619274077,Epsilon Greedy
3,5.440866728632672,Epsilon Greedy
3,4.081251608519044,Epsilon Greedy
3,5.641791894176267,Epsilon Greedy
3,2.350442884149314,Epsilon Greedy
3,3.145637976212824,Epsilon Greedy
3,4.679273414818459,Epsilon Greedy
3,4.387182486689994,Epsilon Greedy
3,4.2568695084724055,Epsilon Greedy
3,4.446909863088941,Epsilon Greedy
3,5.267463845435885,Epsilon Greedy
3,4.5028929197397485,Epsilon Greedy
3,4.7788425838169415,Epsilon Greedy
3,6.318887043881201,Epsilon Greedy
3,4.327927144686874,Epsilon Greedy
3,3.4732893226229105,Epsilon Greedy
3,3.826918581613991,Epsilon Greedy
3,2.8979172232929225,Epsilon Greedy
3,4.493447072343546,Epsilon Greedy
3,3.256736598599252,Epsilon Greedy
3,4.444946593262936,Epsilon Greedy
3,3.8296595271468843,Epsilon Greedy
3,5.705424320509653,Epsilon Greedy
3,4.870239831601706,Epsilon Greedy
3,3.6857063095442566,Epsilon Greedy
3,2.85016115702531,Epsilon Greedy
3,4.423700458776083,Epsilon Greedy
3,3.5323792973585513,Epsilon Greedy
3,3.5893023567932416,Epsilon Greedy
3,3.453855798567972,Epsilon Greedy
3,4.425940813797301,Epsilon Greedy
3,3.8624086731193907,Epsilon Greedy
3,4.232428780409813,Epsilon Greedy
3,6.071202658929126,Epsilon Greedy
3,2.526933371156936,Epsilon Greedy
3,4.2933815834585864,Epsilon Greedy
3,3.8441331390263547,Epsilon Greedy
3,2.0647711438450136,Epsilon Greedy
3,3.3576362781070244,Epsilon Greedy
3,3.206214309528251,Epsilon Greedy
3,5.04280450536502,Epsilon Greedy
3,4.950683390634395,Epsilon Greedy
3,4.578662729847688,Epsilon Greedy
3,3.951621651403024,Epsilon Greedy
3,4.31699084407692,Epsilon Greedy
3,4.629509656905906,Epsilon Greedy
3,4.725426864866765,Epsilon Greedy
3,4.957267258479412,Epsilon Greedy
3,2.6334529796797557,Epsilon Greedy
3,2.5654867927289207,Epsilon Greedy
3,6.409478956483956,Epsilon Greedy
3,4.759305374741217,Epsilon Greedy
3,3.1469957546846663,Epsilon Greedy
3,3.262301180223258,Epsilon Greedy
3,6.201203209486592,Epsilon Greedy
3,5.030998575633122,Epsilon Greedy
3,4.67835491904853,Epsilon Greedy
3,3.1158300394215837,Epsilon Greedy
3,1.9475341292435369,Epsilon Greedy
3,4.999665943987644,Epsilon Greedy
3,4.587986527742448,Epsilon Greedy
3,3.168963589653697,Epsilon Greedy
3,3.324219903685737,Epsilon Greedy
3,2.981339296645924,Epsilon Greedy
3,5.295859480203494,Epsilon Greedy
3,4.113150969817566,Epsilon Greedy
3,4.904079403657677,Epsilon Greedy
3,4.291894405363482,Epsilon Greedy
3,5.3003851666004405,Epsilon Greedy
3,2.493626943379401,Epsilon Greedy
3,3.7921234836001254,Epsilon Greedy
3,3.526336225251843,Epsilon Greedy
3,2.861627244462981,Epsilon Greedy
3,3.5291148189138917,Epsilon Greedy
3,3.9243166687685136,Epsilon Greedy
3,4.406532580118791,Epsilon Greedy
3,4.389977571555264,Epsilon Greedy
3,3.07329515421994,Epsilon Greedy
3,5.244587607982179,Epsilon Greedy
3,6.017581751655313,Epsilon Greedy
3,4.714982745566264,Epsilon Greedy
3,3.810021521141521,Epsilon Greedy
3,3.649933422335432,Epsilon Greedy
3,5.492176586064925,Epsilon Greedy
3,3.4747503330166936,Epsilon Greedy
3,5.6026332982032905,Epsilon Greedy
3,3.7708947951810123,Epsilon Greedy
3,3.971416884920268,Epsilon Greedy
3,2.9222892612707003,Epsilon Greedy
3,2.0570130232050348,Epsilon Greedy
3,2.9562728608129727,Epsilon Greedy
3,4.093974333676052,Epsilon Greedy
3,5.8288971387948045,Epsilon Greedy
3,3.356930940259262,Epsilon Greedy
3,5.523216537340236,Epsilon Greedy
3,3.879435322888148,Epsilon Greedy
3,5.634971913978417,Epsilon Greedy
3,3.5634385751421687,Epsilon Greedy
3,3.0059290799476166,Epsilon Greedy
3,5.012052696965204,Epsilon Greedy
3,4.716489741781643,Epsilon Greedy
3,3.0662958892248504,Epsilon Greedy
3,2.2820002793617293,Epsilon Greedy
3,4.505503794899001,Epsilon Greedy
3,1.6655599566735861,Epsilon Greedy
3,5.460307996958955,Epsilon Greedy
